NAME,GL,GB,PX,PX_ERR,DIST,DIST_ERR,PMTOT,PMTOT_ERR,PS,PS_ERR,PSDOT_OBS,PSDOT_OBS_ERR,PSDOT_SHK,PSDOT_SHK_ERR,PSDOT_B,PSDOT_B_ERR,MODEL_PSDOT_B,MODEL_PSDOT_B_ERR,ALOS_PS,ALOS_PS_ERR,PB,PB_ERR,PBDOT,PBDOT_ERR,PBDOT_SHK,PBDOT_SHK_ERR,PBDOT_GR,PBDOT_GR_ERR,ALOS_PB,ALOS_PB_ERR,BSURF,BSURF_ERR,CHAR_AGE,CHAR_AGE_ERR
,(deg),(deg),(mas),(mas),(kpc),(kpc),(mas/yr),(mas/yr),(s),(s),(s/s),(s/s),(s/s),(s/s),(s/s),(s/s),(s/s),(s/s),(mm/s/yr),(mm/s/yr),(days),(days),(s/s),(s/s),(s/s),(s/s),(s/s),(s/s),(mm/s/yr),(mm/s/yr),(G),(G),(s),(s)
J1017-7156,291.558,-12.553,0.6,0.6,1.400,0.600,10.106,0.012,0.00233851444,5.00E-18,2.21E-21,6.00E-26,8.13E-22,3.48E-22,5.50E-22,8.31E-22,3.72E-22,1.77E-22,4.144113802,1.580052806,6.5119041,9.00E-07,4.00E-13,2.00E-13,1.96E-13,8.38E-14,-3.90E-16,3.00E-16,3.441376858,3.644175716,54577800.26,21278699.7,9.40E+17,7.33E+17
J1022+1001,231.795,51.101,1.16,0.08,0.725,0.015,24,3,0.01645292996,6.00E-17,4.33E-20,3.00E-25,1.67E-20,4.19E-21,3.80E-20,2.20E-22,,,,,7.805134,2.00E-07,2.18E-13,9.00E-15,6.85E-13,1.72E-13,-5.20E-16,8.00E-17,-6.536207071,2.411477804,628287843.2,69219917.05,3.51E+17,7.74E+16
J1125-6014,292.504,0.894,1.2,0.3,0.833,0.208,17.127,0.014,0.002630380781,1.40E-17,3.73E-21,1.30E-25,1.56E-21,3.90E-22,1.30E-21,3.48E-22,-4.78E-22,1.73E-22,9.508125082,1.534281862,8.752603647,4.00E-10,7.00E-13,1.00E-13,4.49E-13,1.12E-13,-2.24E-16,3.00E-17,3.137383925,1.878949458,40127057.39,52584293.46,2.20E+18,5.77E+18
J1400-1431,326.986,45.087,3.6,1.1,0.278,0.085,58,6,0.00308423326,8.00E-17,7.23E-21,1.50E-24,7.01E-21,2.59E-21,,,-1.32E-21,1.71E-22,4.711417624,7.954031187,,,,,,,,,,,25791012.04,158669470.1,7.32E+18,9.01E+19
J1455-3330,330.722,22.562,1.3,0.1,0.769,0.059,8.096,0.014,0.007987204929,1.30E-16,2.43E-20,7.00E-25,9.79E-22,7.52E-23,1.88E-20,2.67E-21,,,,,76.17456861,2.00E-08,4.50E-12,2.20E-12,8.07E-13,6.19E-14,-1.00E-20,4.70E-46,5.305778146,3.161666155,436754994.6,707514.9989,1.71E+17,554768280876815
J1518+4904,80.808,54.282,1.24,0.04,0.806,0.026,8.56,0.04,0.04093498891,6.00E-16,2.72E-20,3.00E-24,5.88E-21,1.97E-22,2.42E-18,3.63E-24,,,,,8.634005096,1.10E-09,2.4E-13,2.2E-14,1.07E-13,3.60E-15,-1.18E-15,4.00E-17,1.701941734,2.790869102,944810161.1,4391707.105,9.61E+17,8.93489E+15
J1600-3053,344.09,16.451,0.51,0.11,1.870,0.030,6.984,0.01,0.00359792851,1.10E-17,9.50E-21,4.00E-26,7.98E-22,1.30E-23,8.05E-21,2.90E-22,7.81E-21,2.43E-22,2.344191802,0.6394692084,14.3484645,9.00E-07,5.00E-13,1.00E-13,2.75E-13,4.48E-15,-1.20E-16,4.00E-17,1.717378235,0.7634160992,181143540.5,168665.0357,2.02E+17,376150395822054
J1603-7202,316.63,-14.496,0.3,0.3,2.700,1.300,7.755,0.012,0.01484195225,5.00E-17,1.56E-20,4.00E-25,5.86E-21,2.82E-21,1.05E-20,1.09E-21,,,,,6.308629669,1.90E-10,1.90E-13,4.00E-14,2.15E-13,1.04E-13,-1.00E-20,7.15E-47,-0.4370652143,1.926577956,356859860.7,154383622.4,8.86E+17,7.66E+17
J1614-2230,352.636,20.192,1.54,0.1,0.649,0.042,32.4,0.6,0.003150807656,3.00E-18,9.62E-21,6.00E-26,5.22E-21,3.89E-22,4.04E-21,2.94E-22,4.16E-21,2.04E-22,0.7221042503,1.318512354,8.686619423,3.00E-11,1.33E-12,7.00E-14,1.24E-12,9.27E-14,-4.23E-16,3.00E-18,1.098115326,1.463337413,119022325.6,5302700.965,3.59E+17,3.20E+16
J1640+2224,41.051,38.271,0.8,0.2,1.080,0.280,11.526,0.007,0.003163315868,3.00E-17,2.82E-21,1.10E-25,1.10E-21,2.86E-22,8.35E-22,3.96E-22,1.31E-21,1.82E-22,1.214875907,1.013472234,175.4606646,9.00E-09,9.50E-12,1.90E-12,5.29E-12,1.37E-12,-1.00E-20,1.06E-46,2.626548873,1.461288186,70570110.38,7344278.967,1.03E+18,2.14E+17
J1713+0747,28.751,25.223,0.88,0.01,1.136,0.013,6.2919,0.0014,0.004570136598,5.00E-18,8.53E-21,5.00E-26,5.00E-22,5.72E-24,8.32E-21,5.69E-23,8.56E-21,2.52E-22,-1.095888927,0.5214687818,67.82513097,7.00E-10,2.64E-13,7.30E-14,6.41E-13,7.34E-15,-6.70E-18,2.00E-19,-0.6078783338,0.1183714051,193836247,68777.05525,2.85E+17,201974675126805
J1721-2457,0.387,6.751,0.1,0.2,10.000,20.000,3.1,0.6,0.003496633783,1.90E-16,5.54E-21,7.00E-24,8.17E-22,1.66E-21,,,4.81E-21,2.10E-22,-0.2353011386,4.536051562,,,,,,,,,,,130044916,22962673.51,3.70E+17,1.31E+17
J1738+0333,27.721,17.742,0.59,0.05,1.470,0.100,8.716,0.02,0.005850095861,3.00E-16,2.41E-20,1.40E-24,1.59E-21,1.08E-22,2.18E-20,2.55E-21,,,,,0.3547907399,1.30E-12,-1.70E-14,3.10E-15,8.32E-15,5.68E-16,-2.90E-14,1.30E-14,1.133996065,4.125751232,365351396.1,1277148.695,1.31E+17,917772566597893
J1741+1351,37.885,21.641,0.6,0.1,1.667,0.278,11.64,0.02,0.0037471545,8.00E-18,3.02E-20,1.50E-25,2.06E-21,3.43E-22,2.68E-20,1.06E-21,,,,,16.33534783,5.00E-10,1.30E-12,4.00E-13,7.75E-13,1.29E-13,-1.00E-20,4.70E-47,3.516412665,2.816039945,328681777.9,2006299.694,6.65E+16,812404052497865
J1744-1134,14.794,9.18,2.58,0.03,0.388,0.005,21.018,0.005,0.004074545942,9.00E-18,8.93E-21,5.00E-26,1.70E-21,2.19E-23,,,7.38E-21,2.38E-22,-0.3435690412,0.5545913877,,,,,,,,,,,173736967,237557.0346,2.82E+17,770104362470925
J1751-2857,0.646,-1.124,1.1,0.4,0.909,0.331,8.6,0.3,0.003914873259,4.00E-16,1.12E-20,1.30E-24,6.40E-22,2.37E-22,,,9.27E-21,2.61E-22,3.115569526,0.8518570619,,,,,,,,,,,205978350.1,2311074.72,1.85E+17,4.15035E+15
